Change Component Designator: Old Designator=D2 New Designator=D1
Change Component Designator: Old Designator=J8 New Designator=J3
Change Component Designator: Old Designator=J9 New Designator=J4
Change Component Designator: Old Designator=J10 New Designator=J5
Change Component Designator: Old Designator=K2 New Designator=K1
Change Component Designator: Old Designator=MOD2 New Designator=MOD1
Change Component Designator: Old Designator=Q2 New Designator=Q1
Change Component Designator: Old Designator=R8 New Designator=R3
Change Component Designator: Old Designator=R9 New Designator=R4
Change Component Designator: Old Designator=R10 New Designator=R5
Change Component Designator: Old Designator=U9 New Designator=U4
Change Component Designator: Old Designator=U10 New Designator=U5
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
Change Component Designator: Old Designator=X2 New Designator=X1
