Change Component Designator: Old Designator=D1 New Designator=D2
Change Component Designator: Old Designator=J3 New Designator=J10
Change Component Designator: Old Designator=J4 New Designator=J8
Change Component Designator: Old Designator=J5 New Designator=J9
Change Component Designator: Old Designator=K1 New Designator=K2
Change Component Designator: Old Designator=MOD1 New Designator=MOD2
Change Component Designator: Old Designator=Q1 New Designator=Q2
Change Component Designator: Old Designator=R3 New Designator=R10
Change Component Designator: Old Designator=R4 New Designator=R8
Change Component Designator: Old Designator=R5 New Designator=R9
Change Component Designator: Old Designator=U4 New Designator=U9
Change Component Designator: Old Designator=U5 New Designator=U10
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
Change Component Designator: Old Designator=X? New Designator=X2
